Code,Name,Geography1,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,
K02000001,UNITED KINGDOM,Country,"66,435,550","745,263","770,614","796,314","797,183","804,654","823,204","848,681","836,008","819,824","810,807","816,988","790,130","774,368","744,924","732,484","712,733","702,583","724,823","746,996","782,115","800,053","828,759","838,020","844,591","873,152","878,510","907,985","927,145","910,610","902,925","911,139","888,406","895,720","894,949","873,143","878,782","877,805","884,231","883,436","847,980","790,987","778,300","793,602","808,123","822,380","858,846","895,740","924,629","902,946","925,239","925,354","937,294","935,781","942,791","933,015","912,318","891,210","860,417","824,399","805,476","787,132","756,901","728,409","700,388","700,279","688,650","666,510","668,807","679,307","693,161","725,913","781,123","599,283","575,952","569,325","525,237","464,860","413,609","421,461","410,404","390,419","362,685","335,716","308,926","275,717","251,440","231,588","207,887","181,142","152,411","584,024",,,
K03000001,GREAT BRITAIN,Country,"64,553,909","722,107","746,644","771,397","772,403","779,741","797,905","822,531","810,047","794,129","784,797","790,978","765,321","750,726","721,854","709,693","690,396","680,228","702,304","723,639","758,792","777,109","805,698","814,952","821,254","849,571","854,945","883,441","902,290","885,744","878,192","885,917","862,984","870,275","869,805","848,307","854,208","853,278","859,114","858,404","823,894","768,012","755,497","770,729","784,819","798,420","833,926","870,514","898,906","877,173","899,165","898,828","910,935","909,405","915,976","906,674","886,662","866,174","835,828","800,883","782,677","764,742","735,477","707,926","680,940","681,247","670,063","648,681","651,055","661,646","675,744","708,709","764,047","583,527","560,576","554,258","510,927","452,193","402,417","410,841","399,849","380,763","353,509","327,438","301,355","268,990","245,130","226,054","202,985","176,983","148,734","570,886",,,
K04000001,ENGLAND AND WALES,Country,"59,115,809","669,797","692,792","715,313","715,338","722,190","739,193","762,279","747,953","734,922","723,973","730,400","707,081","693,698","665,305","654,298","636,635","626,758","646,478","665,716","695,208","710,556","736,060","744,632","750,139","776,573","780,493","804,754","823,696","810,146","803,183","810,707","790,185","798,091","798,182","778,865","783,943","782,168","788,644","789,196","756,950","705,892","694,545","706,504","720,224","732,790","764,283","796,709","822,210","801,625","820,570","818,867","830,363","829,527","833,305","825,069","805,341","786,823","758,454","726,141","708,805","692,912","665,813","640,567","616,708","618,026","608,353","589,366","591,577","602,165","615,315","646,927","697,564","533,973","514,170","507,518","466,895","412,375","366,147","374,534","365,174","347,829","323,241","299,301","275,483","245,943","224,531","207,075","186,581","163,196","137,054","528,959",,,
E92000001,ENGLAND,Country,"55,977,178","637,834","659,890","681,032","680,758","687,213","703,391","725,210","710,174","697,777","687,314","693,071","671,108","658,113","630,959","620,868","603,746","593,955","612,205","630,236","656,433","669,694","694,390","703,885","710,202","734,483","739,076","762,933","781,262","769,510","763,143","771,626","752,425","760,433","760,467","742,646","747,355","745,970","750,994","751,689","721,475","672,988","661,587","673,229","685,692","697,088","726,278","756,102","779,456","760,189","777,217","775,934","786,339","785,536","787,954","779,688","761,252","742,901","715,910","685,060","668,206","652,943","626,944","603,322","580,433","580,732","571,303","553,421","555,379","565,071","577,419","607,104","655,698","502,223","482,933","476,842","438,272","386,454","342,915","352,025","343,460","327,252","304,265","281,645","259,280","231,314","211,152","195,247","175,993","153,958","129,352","499,276",,,
E12000001,NORTH EAST,Region,"2,657,909","27,275","28,355","29,293","29,138","30,008","30,795","31,781","31,880","31,362","30,492","31,024","30,014","30,122","28,377","27,826","27,256","26,907","27,770","29,662","34,522","36,669","36,451","36,113","34,843","35,331","35,511","37,312","37,037","35,055","34,080","34,032","33,030","34,026","33,242","32,131","32,167","31,745","32,064","32,369","31,104","28,063","27,207","28,854","29,187","29,763","31,882","34,519","36,464","35,143","35,738","36,385","37,528","38,223","39,237","38,759","38,912","38,478","36,723","35,688","36,022","35,768","34,034","32,577","31,182","31,030","30,638","29,404","29,644","30,096","30,588","31,836","34,363","25,755","24,656","23,751","21,060","19,326","17,792","18,277","17,998","17,250","16,016","14,243","13,440","11,847","10,697","9,648","8,783","7,436","5,939","21,889",,,
E06000047,County Durham,Unitary Authority,"526,980","4,989","5,252","5,448","5,547","5,785","5,939","5,929","6,223","6,140","5,758","6,065","5,839","5,801","5,556","5,297","5,265","5,019","5,188","5,878","7,784","8,134","7,565","7,029","6,591","6,555","6,694","7,179","7,057","6,510","6,021","5,891","5,786","6,258","6,221","5,968","6,314","6,152","6,050","6,174","5,880","5,460","5,241","5,486","5,658","5,822","6,469","6,852","7,486","7,076","7,536","7,674","7,868","7,993","8,091","8,095","7,852","7,801","7,395","7,036","7,277","7,096","6,930","6,651","6,520","6,294","6,393","6,136","6,254","6,339","6,515","6,610","7,296","5,520","5,412","5,287","4,540","4,114","3,800","3,772","3,644","3,492","3,312","2,843","2,659","2,341","2,063","1,811","1,741","1,409","1,149","4,138",,,
E06000005,Darlington,Unitary Authority,"106,566","1,134","1,104","1,207","1,216","1,256","1,314","1,369","1,284","1,341","1,342","1,302","1,284","1,329","1,225","1,270","1,203","1,149","1,125","1,171","1,008",935,966,"1,069","1,189","1,270","1,090","1,306","1,332","1,258","1,281","1,377","1,308","1,291","1,280","1,349","1,256","1,274","1,381","1,367","1,359","1,218","1,174","1,242","1,305","1,363","1,344","1,465","1,540","1,570","1,476","1,487","1,549","1,681","1,621","1,516","1,615","1,561","1,519","1,368","1,422","1,429","1,282","1,296","1,172","1,192","1,217","1,163","1,162","1,174","1,244","1,230","1,407","1,088","1,052",963,832,800,738,758,809,730,664,613,594,494,489,407,342,301,259,"1,058",,,
E06000001,Hartlepool,Unitary Authority,"93,242",999,"1,011","1,101","1,060","1,126","1,136","1,200","1,219","1,218","1,184","1,182","1,174","1,148","1,078","1,018","1,039","1,003","1,110","1,104",936,928,"1,047","1,091","1,164","1,192","1,110","1,305","1,262","1,126","1,187","1,259","1,272","1,201","1,180","1,121","1,085","1,133","1,092","1,071","1,042",941,956,992,995,"1,004","1,172","1,171","1,311","1,274","1,244","1,268","1,413","1,394","1,457","1,368","1,404","1,422","1,370","1,253","1,326","1,206","1,194","1,109","1,119","1,006","1,064","1,065","1,018","1,051","1,098","1,089","1,128",859,825,736,650,658,544,628,602,624,595,491,491,427,405,351,289,267,217,787,,,
E06000002,Middlesbrough,Unitary Authority,"140,545","1,871","1,970","1,882","1,969","1,965","2,025","1,955","1,975","1,911","1,740","1,800","1,741","1,788","1,636","1,614","1,521","1,531","1,619","1,707","1,975","2,261","2,456","2,371","2,265","2,297","2,386","2,317","2,115","2,101","2,079","2,089","1,813","1,911","1,812","1,751","1,750","1,642","1,659","1,583","1,476","1,438","1,356","1,492","1,517","1,513","1,567","1,618","1,738","1,701","1,581","1,691","1,713","1,850","1,960","1,807","1,820","1,954","1,769","1,716","1,717","1,726","1,663","1,588","1,522","1,432","1,442","1,311","1,295","1,292","1,250","1,360","1,433","1,080","1,012",972,916,867,798,800,777,806,714,676,608,531,525,392,421,323,280,886,,,
E06000057,Northumberland,Unitary Authority,"320,274","2,874","2,944","3,058","2,945","3,089","3,284","3,368","3,442","3,481","3,400","3,608","3,319","3,496","3,350","3,425","3,272","3,356","3,300","3,267","2,727","2,552","2,739","3,048","3,091","3,002","3,214","3,406","3,386","3,253","3,257","3,465","3,320","3,391","3,484","3,343","3,312","3,483","3,479","3,719","3,710","3,236","3,229","3,398","3,549","3,610","3,879","4,127","4,570","4,307","4,494","4,596","4,768","4,798","5,216","5,224","5,126","5,079","5,018","5,109","5,121","4,989","4,743","4,675","4,478","4,551","4,419","4,437","4,522","4,557","4,658","4,960","5,201","3,900","3,821","3,655","3,299","2,857","2,689","2,641","2,551","2,362","2,262","2,011","1,953","1,632","1,484","1,353","1,211","1,079",864,"3,347",,,
E06000003,Redcar and Cleveland,Unitary Authority,"136,718","1,381","1,501","1,419","1,487","1,560","1,695","1,716","1,740","1,574","1,534","1,588","1,585","1,653","1,473","1,469","1,394","1,406","1,451","1,515","1,342","1,312","1,414","1,470","1,532","1,623","1,610","1,752","1,616","1,637","1,629","1,596","1,658","1,671","1,606","1,536","1,442","1,508","1,537","1,531","1,365","1,351","1,264","1,402","1,360","1,461","1,607","1,760","1,797","1,800","1,918","1,892","2,024","2,128","2,053","2,069","2,160","2,103","1,930","1,941","1,931","1,938","1,757","1,755","1,616","1,738","1,692","1,584","1,642","1,657","1,767","1,787","1,997","1,608","1,502","1,439","1,247","1,244","1,100","1,137","1,120","1,010",974,827,764,653,598,548,479,437,327,"1,295",,,
E06000004,Stockton-on-Tees,Unitary Authority,"197,213","2,126","2,305","2,328","2,479","2,410","2,536","2,655","2,689","2,648","2,606","2,625","2,501","2,475","2,326","2,286","2,222","2,127","2,177","2,223","2,066","1,913","2,045","2,154","2,324","2,462","2,514","2,698","2,609","2,663","2,515","2,627","2,540","2,749","2,748","2,681","2,535","2,573","2,507","2,585","2,402","2,185","2,148","2,244","2,219","2,326","2,351","2,699","2,715","2,769","2,689","2,784","2,842","2,852","2,823","2,805","2,893","2,899","2,701","2,633","2,532","2,559","2,528","2,273","2,170","2,248","2,195","2,083","2,037","2,082","2,066","2,186","2,315","1,724","1,601","1,630","1,407","1,321","1,230","1,193","1,262","1,156","1,038",983,930,775,747,727,635,520,362,"1,467",,,
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,136,371","11,901","12,268","12,850","12,435","12,817","12,866","13,589","13,308","13,049","12,928","12,854","12,571","12,432","11,733","11,447","11,340","11,316","11,800","12,797","16,684","18,634","18,219","17,881","16,687","16,930","16,893","17,349","17,660","16,507","16,111","15,728","15,333","15,554","14,911","14,382","14,473","13,980","14,359","14,339","13,870","12,234","11,839","12,598","12,584","12,664","13,493","14,827","15,307","14,646","14,800","14,993","15,351","15,527","16,016","15,875","16,042","15,659","15,021","14,632","14,696","14,825","13,937","13,230","12,585","12,569","12,216","11,625","11,714","11,944","11,990","12,614","13,586","9,976","9,431","9,069","8,169","7,465","6,893","7,348","7,233","7,070","6,457","5,799","5,441","4,994","4,386","4,059","3,665","3,100","2,481","8,911",,,
E08000037,Gateshead,Metropolitan District,"202,508","2,019","2,154","2,174","2,243","2,267","2,156","2,291","2,443","2,325","2,411","2,171","2,303","2,205","2,089","1,966","2,005","2,093","2,290","2,319","2,498","2,334","2,306","2,673","2,600","2,612","2,601","2,724","2,683","2,609","2,684","2,880","2,750","3,019","2,862","2,862","2,884","2,630","2,679","2,699","2,571","2,392","2,315","2,341","2,300","2,242","2,380","2,856","2,824","2,687","2,684","2,776","2,920","2,870","2,932","2,810","2,990","2,868","2,783","2,674","2,625","2,623","2,562","2,265","2,263","2,185","2,098","2,032","2,091","2,217","2,196","2,378","2,544","1,806","1,850","1,765","1,540","1,450","1,428","1,442","1,471","1,404","1,304","1,094","1,085",977,891,795,691,583,455,"1,670",,,
E08000021,Newcastle upon Tyne,Metropolitan District,"300,196","3,205","3,279","3,500","3,268","3,378","3,533","3,607","3,530","3,464","3,307","3,355","3,187","3,075","2,856","2,773","2,850","2,883","3,006","3,796","8,053","9,822","9,069","7,746","6,747","6,515","6,291","6,193","6,320","5,795","5,056","4,529","4,299","4,281","3,836","3,771","3,880","3,702","3,500","3,532","3,286","2,871","2,879","3,163","3,047","3,018","3,148","3,259","3,480","3,192","3,282","3,258","3,308","3,386","3,415","3,389","3,420","3,482","3,192","3,152","3,202","3,259","2,874","2,936","2,666","2,616","2,537","2,395","2,359","2,520","2,457","2,490","2,814","1,988","1,896","1,816","1,643","1,492","1,392","1,476","1,511","1,445","1,330","1,240","1,205","1,069",923,877,830,695,581,"2,246",,,
E08000022,North Tyneside,Metropolitan District,"205,985","2,208","2,222","2,346","2,275","2,420","2,351","2,324","2,437","2,454","2,402","2,424","2,242","2,443","2,302","2,190","2,112","2,092","2,116","2,055","1,737","1,788","1,861","2,106","1,960","2,165","2,298","2,350","2,421","2,242","2,511","2,611","2,697","2,700","2,772","2,683","2,721","2,705","2,994","2,954","2,934","2,407","2,444","2,544","2,589","2,623","2,743","3,046","2,974","2,940","2,928","2,918","2,955","3,045","3,188","3,177","3,192","2,989","2,856","2,774","2,760","2,860","2,643","2,554","2,507","2,539","2,491","2,316","2,338","2,366","2,346","2,594","2,720","2,087","1,891","1,886","1,601","1,415","1,258","1,469","1,335","1,353","1,197","1,135","1,042",950,874,788,692,674,499,"1,848",,,
E08000023,South Tyneside,Metropolitan District,"150,265","1,609","1,594","1,825","1,631","1,700","1,716","1,813","1,732","1,723","1,719","1,742","1,638","1,673","1,630","1,589","1,541","1,522","1,523","1,609","1,459","1,481","1,606","1,735","1,744","1,822","1,877","1,863","1,981","1,936","1,921","1,939","2,032","2,004","1,983","1,794","1,708","1,762","1,886","1,891","1,808","1,540","1,475","1,589","1,616","1,737","1,786","1,947","2,017","2,018","2,158","2,124","2,189","2,340","2,371","2,341","2,352","2,254","2,245","2,224","2,227","2,190","2,041","1,944","1,853","1,891","1,821","1,661","1,728","1,739","1,785","1,841","1,904","1,481","1,306","1,291","1,202","1,084",981,"1,040","1,050","1,015",982,778,773,712,626,577,517,418,385,"1,338",,,
E08000024,Sunderland,Metropolitan District,"277,417","2,860","3,019","3,005","3,018","3,052","3,110","3,554","3,166","3,083","3,089","3,162","3,201","3,036","2,856","2,929","2,832","2,726","2,865","3,018","2,937","3,209","3,377","3,621","3,636","3,816","3,826","4,219","4,255","3,925","3,939","3,769","3,555","3,550","3,458","3,272","3,280","3,181","3,300","3,263","3,271","3,024","2,726","2,961","3,032","3,044","3,436","3,719","4,012","3,809","3,748","3,917","3,979","3,886","4,110","4,158","4,088","4,066","3,945","3,808","3,882","3,893","3,817","3,531","3,296","3,338","3,269","3,221","3,198","3,102","3,206","3,311","3,604","2,614","2,488","2,311","2,183","2,024","1,834","1,921","1,866","1,853","1,644","1,552","1,336","1,286","1,072","1,022",935,730,561,"1,809",,,
E12000002,NORTH WEST,Region,"7,292,093","82,452","85,872","88,492","88,455","89,500","90,453","93,237","91,696","89,815","88,935","89,973","87,341","86,249","82,953","80,950","78,578","78,127","80,069","82,608","87,952","89,527","94,081","93,451","93,209","95,200","97,121","101,275","103,335","100,103","97,835","97,770","94,059","95,512","95,765","92,679","93,100","92,286","91,509","91,998","87,598","81,378","79,363","82,546","84,608","86,706","91,521","97,703","101,762","99,366","102,842","101,802","103,322","102,448","104,690","103,891","101,719","101,049","96,653","92,368","89,995","88,202","85,336","81,346","77,869","77,863","77,321","74,468","75,632","76,702","78,235","82,982","89,249","65,945","63,087","63,241","58,310","52,273","47,657","47,820","46,021","44,172","40,242","37,442","33,836","29,797","27,036","24,885","22,264","19,240","15,990","60,778",,,
E06000008,Blackburn with Darwen,Unitary Authority,"148,942","1,998","2,104","2,194","2,150","2,130","2,203","2,325","2,157","2,220","2,247","2,257","2,164","2,116","2,136","2,014","2,076","2,035","1,955","2,023","1,744","1,659","1,802","1,903","1,954","1,931","1,830","2,035","1,955","1,949","1,951","2,044","1,995","2,140","2,084","2,049","2,172","2,221","2,113","2,024","1,927","1,811","1,782","1,738","1,853","1,989","1,909","2,048","2,009","2,036","2,087","2,137","1,973","1,920","1,902","1,866","1,882","1,852","1,804","1,759","1,642","1,542","1,562","1,488","1,493","1,329","1,426","1,327","1,251","1,326","1,319","1,353","1,494","1,047",957,949,893,818,680,730,771,710,606,609,471,434,419,348,331,260,238,776,,,
E06000009,Blackpool,Unitary Authority,"139,305","1,627","1,673","1,668","1,740","1,657","1,761","1,772","1,592","1,610","1,643","1,617","1,542","1,466","1,616","1,522","1,457","1,472","1,469","1,600","1,356","1,450","1,513","1,670","1,592","1,723","1,685","1,893","1,833","1,754","1,738","1,698","1,688","1,687","1,622","1,639","1,543","1,451","1,515","1,578","1,545","1,377","1,373","1,477","1,434","1,602","1,813","1,887","2,001","1,942","2,140","2,121","2,120","2,184","2,148","2,236","2,116","2,135","1,906","1,870","1,901","1,843","1,719","1,796","1,583","1,502","1,469","1,466","1,556","1,518","1,680","1,701","1,846","1,474","1,377","1,282","1,265","1,079","1,083","1,028",983,930,866,820,706,620,581,557,437,401,335,"1,342",,,
E06000049,Cheshire East,Unitary Authority,"380,790","3,921","3,935","4,174","4,117","4,115","4,348","4,523","4,490","4,232","4,441","4,574","4,488","4,421","4,291","4,246","4,070","4,017","4,120","4,115","3,091","2,774","3,213","3,523","3,672","3,723","3,878","4,021","3,752","3,871","3,821","3,949","3,568","4,050","4,117","4,064","4,156","4,199","4,380","4,549","4,427","4,077","4,255","4,457","4,746","4,947","5,238","5,618","5,845","5,612","5,981","6,044","5,973","6,040","6,068","6,048","5,993","5,924","5,762","5,255","5,160","5,098","4,767","4,725","4,569","4,464","4,538","4,411","4,702","4,777","4,889","5,295","5,735","4,184","4,171","4,254","3,790","3,292","2,993","3,041","2,879","2,840","2,571","2,425","2,205","1,927","1,754","1,587","1,534","1,374","1,085","4,435",,,
E06000050,Cheshire West and Chester,Unitary Authority,"340,502","3,487","3,661","3,786","3,721","3,916","4,056","4,107","4,031","3,783","3,775","4,009","3,886","3,852","3,762","3,668","3,548","3,411","3,595","3,637","3,823","4,014","3,921","3,861","3,827","3,850","3,881","4,099","3,826","3,858","3,670","3,946","3,565","3,827","3,954","3,802","4,021","3,957","3,929","4,108","3,940","3,724","3,536","3,803","4,140","4,229","4,546","4,829","4,842","4,811","5,087","5,024","5,037","5,120","5,132","5,274","5,237","5,020","4,933","4,604","4,407","4,416","4,352","4,121","3,896","4,067","4,026","3,849","4,039","4,062","4,168","4,514","4,795","3,609","3,548","3,356","3,096","2,762","2,632","2,621","2,460","2,381","2,218","2,012","1,804","1,565","1,453","1,329","1,269","1,015",913,"3,449",,,
E06000006,Halton,Unitary Authority,"128,432","1,451","1,500","1,554","1,593","1,578","1,703","1,654","1,678","1,773","1,680","1,726","1,654","1,722","1,556","1,490","1,416","1,418","1,471","1,473","1,297","1,186","1,285","1,463","1,492","1,590","1,546","1,590","1,654","1,564","1,580","1,677","1,776","1,602","1,613","1,719","1,640","1,663","1,605","1,569","1,625","1,387","1,472","1,543","1,551","1,516","1,777","1,835","1,931","1,759","1,744","1,726","1,844","1,752","1,864","1,747","1,789","1,941","1,780","1,667","1,745","1,687","1,563","1,663","1,527","1,540","1,459","1,502","1,585","1,481","1,511","1,565","1,660","1,148",975,"1,063",933,880,750,752,710,676,632,573,568,469,420,356,301,298,231,758,,,
E06000007,Warrington,Unitary Authority,"209,547","2,229","2,225","2,470","2,479","2,530","2,547","2,683","2,657","2,597","2,618","2,545","2,522","2,419","2,441","2,424","2,305","2,439","2,354","2,365","1,902","1,786","2,019","2,243","2,223","2,383","2,476","2,428","2,703","2,577","2,654","2,683","2,690","2,722","2,656","2,706","2,696","2,788","2,812","2,806","2,614","2,470","2,460","2,618","2,698","2,716","2,986","3,131","3,189","3,184","3,163","3,123","3,288","3,338","3,293","3,287","3,296","3,053","2,903","2,645","2,703","2,488","2,396","2,308","2,271","2,241","2,202","2,117","2,094","2,172","2,173","2,320","2,655","1,969","1,899","1,903","1,674","1,637","1,397","1,477","1,454","1,289","1,151","1,064",946,858,753,637,584,477,426,"1,555",,,
E10000006,Cumbria,County,"498,888","4,366","4,763","4,941","4,921","5,075","5,114","5,343","5,331","5,296","5,362","5,443","5,327","5,367","5,184","5,285","5,088","5,106","5,188","5,162","4,528","4,463","4,764","4,903","4,884","5,404","5,280","5,647","5,473","5,100","5,208","5,250","4,969","5,137","5,293","5,088","5,391","5,313","5,431","5,489","5,144","4,918","4,858","5,191","5,355","5,870","6,167","6,644","7,386","7,160","7,594","7,466","7,864","7,791","7,980","8,046","7,897","7,943","7,555","7,438","7,536","7,308","7,033","6,798","6,484","6,611","6,659","6,357","6,703","6,734","7,064","7,395","7,834","5,863","5,551","5,731","5,215","4,675","4,257","4,275","4,075","4,022","3,578","3,238","2,850","2,559","2,462","2,287","1,977","1,693","1,429","5,691",,,
E07000026,Allerdale,Non-metropolitan District,"97,527",885,932,900,969,968,"1,005","1,010","1,109","1,084","1,115","1,074","1,063","1,015","1,024",975,"1,023","1,018",997,"1,041",906,779,916,917,"1,036","1,014",991,"1,067","1,117","1,027",971,"1,046",887,"1,050","1,013",968,"1,008",994,"1,097","1,116",997,946,916,969,"1,057","1,087","1,179","1,293","1,531","1,448","1,500","1,504","1,653","1,541","1,589","1,536","1,502","1,523","1,440","1,425","1,432","1,448","1,344","1,360","1,226","1,263","1,361","1,246","1,352","1,300","1,457","1,492","1,575","1,075","1,051","1,128","1,037",936,830,817,804,773,711,644,560,506,444,468,409,328,277,"1,110",,,
